sku,uid,category_slug,category_ru,title,url,price,image_count,first_image,description
LC0011,616457691041,sculptural-decor,"Скульптурные композиции, декор",Настенная композиция,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-616457691041-nastennaya-kompozitsiya,,3,https://static.tildacdn.com/tild3032-6365-4234-a162-363437623864/10004.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0014,947287655091,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-947287655091-dekorativnaya-kompozitsiya,,16,https://static.tildacdn.com/tild3439-6636-4632-b232-313731643961/20.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0016,451510117251,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-451510117251-dekorativnaya-kompozitsiya,,7,https://static.tildacdn.com/tild6135-3935-4631-b133-323261656166/7bv7vv8.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0009,193057638261,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-193057638261-svetovaya-kompozitsiya,,5,https://static.tildacdn.com/tild3633-3862-4032-b165-313162616238/5.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0017,735021916171,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-735021916171-dekorativnaya-kompozitsiya,,4,https://static.tildacdn.com/tild3265-3862-4463-a261-636532373564/6764v8.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0018,949833006351,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-949833006351-dekorativnaya-kompozitsiya,,7,https://static.tildacdn.com/tild3838-3263-4230-b436-633037303633/1.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0020,785103412361,sculptural-decor,"Скульптурные композиции, декор",Декоративная композиция,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-785103412361-dekorativnaya-kompozitsiya,,4,https://static.tildacdn.com/tild3436-6532-4237-a531-393032376561/10001.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0022,800086666181,sculptural-decor,"Скульптурные композиции, декор",Декоративная композиция,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-800086666181-dekorativnaya-kompozitsiya,,4,https://static.tildacdn.com/tild3231-3337-4165-b835-303534333931/3c5.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0015,902089357611,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-902089357611-dekorativnaya-kompozitsiya,,7,https://static.tildacdn.com/tild6534-3862-4630-a535-336337346461/79n99b5.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0024,160513443831,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-160513443831-dekorativnaya-kompozitsiya,,5,https://static.tildacdn.com/tild3737-3638-4164-b263-313739653031/1g0031.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0019,753129988171,sculptural-decor,"Скульптурные композиции, декор",Настенная композиция,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-753129988171-nastennaya-kompozitsiya,,2,https://static.tildacdn.com/tild6263-3062-4737-b238-333737356136/4.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0023,850569515171,floor-table-lamps,"Торшеры, бра, настольные арт-объекты",Торшер,https://vargov.ru/floorlamps_and_tablelamps_vargovdesign_ru/tproduct/727178542-850569515171-torsher,,25,https://static.tildacdn.com/tild6664-6439-4935-b663-356463393833/10015.png,"Цена указана за композицию H175мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0025,993847626741,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-993847626741-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild6162-3131-4239-b737-613466653130/1g0019.png,"Цена указана за один элемент L300мм,D120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0028,588418343071,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-588418343071-svetovaya-kompozitsiya,,9,https://static.tildacdn.com/tild3765-6166-4735-a139-626139376238/1g0027.png,"Цена указана за один элемент L300мм, D120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0021,732701914721,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-732701914721-dekorativnaya-kompozitsiya,,6,https://static.tildacdn.com/tild3033-3438-4166-b264-616233636232/2.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0030,801845719751,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-801845719751-dekorativnaya-kompozitsiya,,15,https://static.tildacdn.com/tild3566-6532-4465-b436-646336333136/10.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0029,423341394921,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-423341394921-svetovaya-kompozitsiya,,4,https://static.tildacdn.com/tild3535-6437-4365-b434-353133303738/photo.jpg,"Цена указана за один элемент H250мм, D120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0031,721894048331,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-721894048331-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild3739-6234-4561-b765-346638376139/photo.jpg,"Цена указана за один элемент H300мм, W120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0026,111152103831,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-111152103831-svetovaya-kompozitsiya,,7,https://static.tildacdn.com/tild6263-3362-4231-a461-623662313432/1g0023.png,"Цена указана за один элемент L600мм, D25мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0034,558794771441,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-558794771441-dekorativnaya-kompozitsiya,,19,https://static.tildacdn.com/tild3032-3530-4039-b834-346361346463/14.jpg,"Цена указана за один элемент L150мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0032,789729495211,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-789729495211-svetovaya-kompozitsiya,,6,https://static.tildacdn.com/tild3838-3231-4639-b261-653939616163/13.jpg,"Цена указана за один элемент 250Х250мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0035,322984893621,sculptural-decor,"Скульптурные композиции, декор",Настенная композиция,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-322984893621-nastennaya-kompozitsiya,,12,https://static.tildacdn.com/tild3762-3336-4132-b038-663930313665/3-3.jpg,"Цена указана за композицию D900-950мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0037,104432255321,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-104432255321-dekorativnaya-kompozitsiya,,21,https://static.tildacdn.com/tild6263-3764-4165-b335-333432393931/17.jpg,"Цена указана за один элемент L150мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0036,669808976301,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-669808976301-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild3633-6631-4833-b538-623736393565/6.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0027,167940826711,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-167940826711-svetovaya-kompozitsiya,,22,https://static.tildacdn.com/tild3130-6139-4666-a139-393239346561/1g0033.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0040,379149841051,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-379149841051-svetovaya-kompozitsiya,,5,https://static.tildacdn.com/stor3439-6266-4137-a530-303166353235/91289082.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0033,700303260761,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-700303260761-svetovaya-kompozitsiya,,6,https://static.tildacdn.com/tild3063-6632-4631-b435-306436626563/18.jpg,"Цена указана за один элемент W250мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0041,798304758271,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-798304758271-svetovaya-kompozitsiya,,5,https://static.tildacdn.com/tild6131-6466-4634-a336-323065616466/10003.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0039,184058009151,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-184058009151-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild6664-3537-4736-b036-306662646335/10003.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0042,663806052211,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-663806052211-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild6130-3066-4435-b639-313534333937/10003.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0043,176836377981,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-176836377981-svetovaya-kompozitsiya,,4,https://static.tildacdn.com/tild6533-6439-4630-a434-333162633632/3.jpg,"Цена указана за один элемент H250мм, D120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0046,714888716431,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-714888716431-svetovaya-kompozitsiya,,4,https://static.tildacdn.com/tild6539-3430-4633-b835-643965353162/15.jpg,"Цена указана за один элемент H250мм, D120мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0045,977800028601,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-977800028601-svetovaya-kompozitsiya,,10,https://static.tildacdn.com/stor3563-6332-4635-b733-323532613932/63737904.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0047,210800206641,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-210800206641-dekorativnaya-kompozitsiya,,4,https://static.tildacdn.com/tild3130-3666-4235-b766-636561326666/1.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0049,741119931231,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-741119931231-dekorativnaya-kompozitsiya,,11,https://static.tildacdn.com/tild6262-3762-4738-b730-656135633366/10009.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
