priority_reason,sku,url,category,current_description,material,dimensions,color,light_temperature,wattage_voltage,weight_kg,notes
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-968794029062-nastennaya-svetovaya-kompozitsiya-lc0373,showroom-items,Характеристики композиции LC0373 Размер композиции: D1000мм Размер элементов: D250мм Количество элементов в композиции: 20шт. Цвет элементов: прозрачные бесцветные Материал элемента: хрусталь Диоды: G,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-683334890622-svetovoi-element-lc0287,showroom-items,Элемент: композиция LC0287 Размер элемента: D250мм Цвет: белая эмаль/зеркальное золото Материал элемента: керамика Диоды: G4 1.5W 220V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-232799418342-svetovaya-kompozitsiya-lc0218,showroom-items,"Характеристики композиции LC0218 Размер композиции: D700мм, H1000мм Размер элемента: D90мм, Н350мм Количество элементов в композиции: 30шт. Цвет элементов: Материал элемента: стекло Диоды: G4 1.5W 12V",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-767856602512-svetovoi-element-lc0332,showroom-items,Элемент: композиция LC0332 Размер элемента: H150-500мм Материал элемента: стекло с добавлением в массу стекла частиц золотой фольги Диоды: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-644350158812-svetovaya-kompozitsiya-lc0319,showroom-items,Характеристики композиции LC0319 Размер композиции: любой Размер элемента: L300мм Количество элементов в композиции: 30шт. Цвет элементов: коньяк Материал элемента: стекло Диоды: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-467136994522-nastennaya-dekorativnaya-kompozitsiya-lc,showroom-items,Характеристики композиции LC0035 Размер композиции: D1050мм Размер элементов (микс): L170-250мм Количество элементов в композиции: 60шт. Цвет: золото/серебро с эффектом старения Материал элемента: сте,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-300287759572-svetovoi-element-lc0272,showroom-items,Элемент: композиция LC0272 Размер элемента: D300мм Материал элемента: стекло Диоды: 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-330278760532-svetovoi-element-lc0510,showroom-items,Элемент: композиция LC0510 Размер элемента: L300мм Материал элемента: стекло Диоды: 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-429658748472-svetovoi-element-lc0371,showroom-items,Элемент: композиция LC0371 Размер элемента: L250 Материал элемента: стекло Диод: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-658107124782-svetovoi-element-lc0400,showroom-items,Элемент: композиция LC0400 Размер элемента: H400 Материал элемента: хрусталь Диоды: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-499821971892-svetovoi-element-lc0365,showroom-items,Элемент: композиция LC0365 Размер элемента: H300мм Цвет: белая эмаль Материал элемента: керамика Диод: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-823591019442-svetovoi-element-lc0536,showroom-items,"Элемент: композиция LC0536 Размер элемента: D90, H400мм Материал элемента: стекло Диод: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-538789809242-svetovoi-element-lc0028,showroom-items,"Элемент: композиция LC0028 Размер элемента: D120мм, L500мм Материал элемента: хрусталь Диоды: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-597133512132-svetovaya-kompozitsiya-lc0164,showroom-items,"Характеристики композиции LC0164 Размер элемента: D100мм, D180мм Количество элементов в композиции: 110шт. Материал элемента: стекло Диоды: G4 1.5W 220V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-617033344292-svetovoi-element-lc0383,showroom-items,"Элемент: композиция LC0383 Размер элемента: W130, H300мм Материал элемента: хрусталь Диод: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-869270585992-svetovoi-element-lc0031,showroom-items,"Элемент: композиция LC0031 Размер элемента: H250,350,450мм Материал элемента: хрусталь Диоды: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-802325814232-svetovoi-element-lc0372,showroom-items,Элемент: композиция LC0372 Размер элемента: D250мм Материал элемента: хрусталь Диоды: G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-521353378352-svetovoi-element-lc0262,showroom-items,"Элемент: композиция LC0262 Размер элемента: D200,250,300мм Материал элемента: стекло Диоды: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-348074910292-svetovaya-kompozitsiya-lc0217,showroom-items,Характеристики композиции LC0217 Ширина ленты: 300мм Длина ленты: 6 погонных метров Цвет: красный Материал элемента: стекло,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-751993277582-svetovoi-element-lc0164,showroom-items,"Элемент для композиций LC0164 Размер элемента: D100мм, D180мм Материал элемента: стекло, керамика",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-857320580032-svetovoi-element-lc0087,showroom-items,"Элемент для композиций LC0087 Размер элемента: L200,250,300мм Материал элемента: стекло",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-474151273432-svetovaya-kompozitsiya-lc0536,showroom-items,"Характеристики композиции LC0536 Размер композиции на металлической базе: D800мм, H2000мм Размер элемента: D90мм, Н400мм Количество элементов в композиции: 80шт. Цвет элемента: прозрачный бесцветный М",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-578470979502-svetovaya-kompozitsiya-lc0217,showroom-items,Характеристики композиции LC0217 Ширина ленты: 250мм Длина ленты: 9 погонных метров Цвет каркаса: латунь Цвет: дымчатый Материал элемента: стекло Подключение к одному выводу 220V,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-213072977992-svetovoi-element-lc0232,showroom-items,"Элемент для композиций LC0232 Размер элемента: L250,300,350мм Материал элемента: стекло",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-801609124302-svetovoi-element-lc0319,showroom-items,Элемент: композиция LC0319 Размер элемента: L300мм Материал элемента: стекло Диоды: два диода G4 1.5W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-724654671882-svetovaya-kompozitsiya-lc0358,showroom-items,"Характеристики композиции LC0358 Размер композиции: L1920мм, W1200мм, H550мм Размер элемента: D300мм Количество элементов в композиции: 7шт. Цвет: прозрачные бесцветные Материал элемента: стекло Диоды",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-837392712952-elementi-dlya-kompozitsii-lc0406-i-dlya,showroom-items,"Элементы для композиций LC0406 и для бра LC0406-1 Размер элемента: L250,300,350mm Материал элемента: стекло",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-672118902932-svetovoi-element-lc0310,showroom-items,"Элемент: композиция LC0310 Размер элемента: D80мм, H250мм Материал элемента: керамика Диоды: G4 1.5W 12V 3000K",,,,,,,
