sku,category,category_label,title,url,image_count,first_image,description
LC0027,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-167940826711-svetovaya-kompozitsiya,22,https://static.tildacdn.com/tild3130-6139-4666-a139-393239346561/1g0033.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0030,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-801845719751-dekorativnaya-kompozitsiya,15,https://static.tildacdn.com/tild3566-6532-4465-b436-646336333136/10.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0032,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-789729495211-svetovaya-kompozitsiya,6,https://static.tildacdn.com/tild3838-3231-4639-b261-653939616163/13.jpg,"Price shown is per single element 250x250mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0039,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-184058009151-svetovaya-kompozitsiya,8,https://static.tildacdn.com/tild6664-3537-4736-b036-306662646335/10003.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0040,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-379149841051-svetovaya-kompozitsiya,5,https://static.tildacdn.com/stor3439-6266-4137-a530-303166353235/91289082.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0038,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-386344813201-svetovaya-kompozitsiya,8,https://static.tildacdn.com/tild6239-3931-4538-b562-613663616362/6.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0044,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-149632146981-svetovaya-kompozitsiya,4,https://static.tildacdn.com/tild3630-6636-4566-b232-366639306537/8.jpg,"Price shown is per single element D250mm, H100mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0041,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-798304758271-svetovaya-kompozitsiya,5,https://static.tildacdn.com/tild6131-6466-4634-a336-323065616466/10003.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0042,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-663806052211-svetovaya-kompozitsiya,8,https://static.tildacdn.com/tild6130-3066-4435-b639-313534333937/10003.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0046,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-714888716431-svetovaya-kompozitsiya,4,https://static.tildacdn.com/tild6539-3430-4633-b835-643965353162/15.jpg,"Price shown is per single element H250mm, D120mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0050,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-372937012751-dekorativnaya-kompozitsiya,5,https://static.tildacdn.com/tild3264-6135-4236-b930-333166346262/14.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0049,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-741119931231-dekorativnaya-kompozitsiya,11,https://static.tildacdn.com/tild6262-3762-4738-b730-656135633366/10009.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0043,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-176836377981-svetovaya-kompozitsiya,4,https://static.tildacdn.com/tild6533-6439-4630-a434-333162633632/3.jpg,"Price shown is per single element H250mm, D120mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0047,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-210800206641-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3130-3666-4235-b766-636561326666/1.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0052,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-465645957851-svetovaya-kompozitsiya,10,https://static.tildacdn.com/tild6362-3537-4831-b439-396165306130/w2.jpg,"Price shown is per single element H300-500mm, L100-200mm, W50mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0055,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-251128027241-dekorativnaya-kompozitsiya,7,https://static.tildacdn.com/tild3532-3365-4665-b363-626134373232/6.jpg,"Price shown is per single element D200-250mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0051,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-671293191481-svetovaya-kompozitsiya,6,https://static.tildacdn.com/tild3333-6332-4732-b266-633563613264/23.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0054,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-406845733221-svetovaya-kompozitsiya,4,https://static.tildacdn.com/tild6565-3662-4666-b938-343666636131/1.jpg,"Price shown is per single element H400mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0057,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-659855266541-svetovaya-kompozitsiya,5,https://static.tildacdn.com/tild6166-3164-4162-b336-633537646633/14.jpg,"Price shown is per single element W200mm, H200mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0058,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-282735385591-svetovaya-kompozitsiya,6,https://static.tildacdn.com/tild6337-6666-4034-b264-636639643366/10.jpg,"Price shown is per single element D100mm, H300mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0059,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-248607804011-svetovaya-kompozitsiya,7,https://static.tildacdn.com/tild6561-3931-4833-a663-626531356138/22.jpg,"Price shown is per single element D50mm, L350-400mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0053,sculptural-decor,Sculptural compositions & decor,Decorative composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-849114274881-dekorativnaya-kompozitsiya,7,https://static.tildacdn.com/tild3030-6430-4166-b734-383338613135/1.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0056,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-831210798231-svetovaya-kompozitsiya,7,https://static.tildacdn.com/tild3364-3736-4330-b331-343939346636/4.jpg,"Price shown is per single element W200mm, H200mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0064,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-686004104401-svetovaya-kompozitsiya,8,https://static.tildacdn.com/tild3633-6530-4466-b362-386564356136/7.jpg,"Price shown is per single element W120mm, H250mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0066,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-875215621341-nastennaya-skulptura,3,https://static.tildacdn.com/tild6665-3131-4534-a337-636136323532/46v7vv.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0063,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-327863445161-dekorativnaya-kompozitsiya,9,https://static.tildacdn.com/tild3137-3936-4233-a334-616130333263/5.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0068,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-472540814041-nastennaya-skulptura,3,https://static.tildacdn.com/tild3663-3261-4461-b265-373230373330/756v595.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0065,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-223800872761-svetovaya-kompozitsiya,5,https://static.tildacdn.com/tild3732-3233-4666-b666-666261666161/photo.jpg,"Price shown is per single element W160mm, H160-380mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0061,sculptural-decor,Sculptural compositions & decor,Tabletop art object,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-287237212701-nastolnii-art-obekt,3,https://static.tildacdn.com/tild6664-6130-4537-a234-633761383262/31.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0071,sculptural-decor,Sculptural compositions & decor,Wall light sculpture-sconce LC0071,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-728501514701-nastennaya-svetovaya-skulptura-bra-lc007,3,https://static.tildacdn.com/tild6535-3863-4537-b261-336637613565/5695brv.jpg,"This wall composition exists on the border between an art object and architectural sculpture. It does not strive to be symmetrical or “correct” — on the contrary, its strength lies in natural irregularity and a sense of living movement. Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product"
LC0070,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-143727868191-nastennaya-skulptura,3,https://static.tildacdn.com/tild6261-6163-4162-b438-396165313132/68v47v.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0069,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-128361622401-nastennaya-skulptura,5,https://static.tildacdn.com/tild6434-6130-4137-a238-363966376433/657b58v8.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0072,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-783667658321-nastennaya-skulptura,3,https://static.tildacdn.com/tild3163-3733-4938-a361-643631326564/5664vc7.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0074,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-615440019961-nastennaya-skulptura,3,https://static.tildacdn.com/tild6261-3030-4666-b365-336538326132/567nb7v.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0076,sculptural-decor,Sculptural compositions & decor,Hanging sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-873371959961-podvesnaya-skulptura,2,https://static.tildacdn.com/tild3130-3035-4862-a263-353262666562/2.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0073,sculptural-decor,Sculptural compositions & decor,Wall sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-968502240341-nastennaya-skulptura,3,https://static.tildacdn.com/tild6538-3338-4632-a337-393263653232/8974c47.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0077,sculptural-decor,Sculptural compositions & decor,Decorative composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-469940986241-dekorativnaya-kompozitsiya,10,https://static.tildacdn.com/tild6164-6334-4463-b366-323939373166/photo.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0081,sculptural-decor,Sculptural compositions & decor,Mirrors,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-613661541781-zerkala,1,https://static.tildacdn.com/tild3264-3339-4265-b963-353437663863/555.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0082,sculptural-decor,Sculptural compositions & decor,Mirrors,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-660502508001-zerkala,1,https://static.tildacdn.com/tild3465-3731-4633-a662-373665643438/666.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0083,sculptural-decor,Sculptural compositions & decor,Mirrors,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-104125797831-zerkala,1,https://static.tildacdn.com/tild3235-3362-4339-b365-346535313062/777.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0084,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-916244013821-svetovaya-kompozitsiya,9,https://static.tildacdn.com/tild6165-6630-4735-b336-616466396261/4.jpg,"Price shown is per single element D30mm, L250-350mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0079,sculptural-decor,Sculptural compositions & decor,Decorative composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-235566976831-dekorativnaya-kompozitsiya,6,https://static.tildacdn.com/tild3261-3763-4835-b633-353839643961/10015.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0075,sculptural-decor,Sculptural compositions & decor,Hanging sculpture,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-910128133011-podvesnaya-skulptura,3,https://static.tildacdn.com/tild3433-3338-4565-a362-646565306235/photo.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
